Transaction_ID,Customer_ID,Country,Transaction_Amount,Transaction_Timestamp,Merchant_Category,Location_Type,Device_Type,Customer_Avg_Amount,Customer_Amount_Std,Normal_Peak_Hour,Is_New_Device,Fraud_Label
556,IN_CUST_0071,India,7534.72,29-01-2024 22:32,Electronics,Domestic,Laptop,11190.39,1886.93,20,No,0
3492,SP_CUST_0056,Spain,74022.32,14-01-2024 01:03,Fuel,International,Mobile,18547.69,3710.45,15,Yes,1
528,IN_CUST_0061,India,26303.94,16-01-2024 09:41,Electronics,Domestic,POS,17155.33,5374.53,9,No,0
3926,SP_CUST_0069,Spain,59983.28,20-01-2024 09:20,Travel,Domestic,Tablet,35357.64,11633.41,9,No,0
2990,GE_CUST_0058,Germany,20631.87,26-01-2024 14:26,Electronics,Domestic,Laptop,27135.72,8972.55,12,No,0
71,IN_CUST_0054,India,43940.59,22-01-2024 12:37,Restaurants,Domestic,POS,39914.14,8116.79,10,No,0
1757,FR_CUST_0077,France,73235.29,17-01-2024 03:48,Travel,International,Laptop,18544.96,4250.36,9,Yes,1
212,IN_CUST_0061,India,19414.38,17-01-2024 12:41,Fashion,Domestic,POS,17155.33,5374.53,9,No,0
197,IN_CUST_0028,India,6465.57,09-01-2024 10:42,Groceries,Domestic,Laptop,9556.01,2792.92,11,No,0
804,IN_CUST_0048,India,33324.28,15-01-2024 03:47,Groceries,International,Mobile,8256.92,2120.53,13,Yes,1
3410,SP_CUST_0026,Spain,13793.1,07-01-2024 16:49,Fashion,Domestic,Mobile,12030.51,4085.17,20,No,0
3837,SP_CUST_0062,Spain,26162.24,07-01-2024 18:51,Travel,Domestic,Mobile,20615.96,3225.02,19,No,0
1147,FR_CUST_0003,France,20249.59,08-01-2024 08:02,Electronics,Domestic,Laptop,16410.61,5190.24,9,No,0
1499,FR_CUST_0061,France,18746.11,08-01-2024 12:14,Electronics,Domestic,POS,33819.95,6221.03,12,No,0
3859,SP_CUST_0029,Spain,21901.7,19-01-2024 15:22,Fuel,Domestic,Tablet,22212.61,3739.94,20,No,0
3483,SP_CUST_0068,Spain,38601.16,04-01-2024 02:49,Fuel,International,Tablet,12269.46,3078.75,19,Yes,1
1186,FR_CUST_0025,France,100000,02-01-2024 01:50,Restaurants,International,Laptop,33303.16,5416.03,13,Yes,1
472,IN_CUST_0039,India,100000,15-01-2024 01:04,Fuel,International,Mobile,36487.53,7292.34,19,Yes,1
595,IN_CUST_0062,India,6296.4,07-01-2024 10:55,Travel,Domestic,POS,7727.27,1944.49,11,No,0
322,IN_CUST_0014,India,59447.46,19-01-2024 18:32,Electronics,Domestic,Laptop,38694.02,12060.13,17,No,0
1418,FR_CUST_0065,France,93332.32,04-01-2024 04:11,Healthcare,International,Laptop,20562.83,4737.21,10,Yes,1
1675,FR_CUST_0015,France,43160.63,13-01-2024 03:23,Fashion,International,Mobile,12295.82,2341.75,19,Yes,1
3591,SP_CUST_0068,Spain,15523.61,27-01-2024 21:02,Electronics,Domestic,Mobile,12269.46,3078.75,19,No,0
1704,FR_CUST_0041,France,100000,12-01-2024 01:09,Travel,International,Tablet,26865,5276.38,14,Yes,1
2541,GE_CUST_0037,Germany,83181.45,01-01-2024 03:19,Electronics,International,Laptop,18644.83,4320.92,10,Yes,1
206,IN_CUST_0057,India,100000,04-01-2024 03:29,Fuel,International,POS,22175.51,5312.29,14,Yes,1
3888,SP_CUST_0006,Spain,19423.09,10-01-2024 16:38,Travel,Domestic,Tablet,23263.84,6586.04,18,No,0
3249,SP_CUST_0013,Spain,100000,08-01-2024 03:14,Groceries,International,POS,23833.83,7494.67,14,Yes,1
2132,GE_CUST_0041,Germany,30713.19,29-01-2024 16:54,Fuel,Domestic,Mobile,32717.6,7446.91,15,No,0
1256,FR_CUST_0071,France,11869.78,15-01-2024 17:08,Fuel,Domestic,Laptop,10026.81,3234.64,16,No,0
2300,GE_CUST_0010,Germany,100000,11-01-2024 02:08,Fuel,International,Tablet,21115.66,5963.54,10,Yes,1
1227,FR_CUST_0035,France,96507.46,26-01-2024 01:15,Restaurants,International,Tablet,30424.18,9508.86,14,Yes,1
3919,SP_CUST_0051,Spain,51854.16,15-01-2024 01:38,Healthcare,International,Laptop,13856.05,4599.72,11,Yes,1
2465,GE_CUST_0045,Germany,15970.8,29-01-2024 03:46,Electronics,International,Tablet,4403.63,776.54,16,Yes,1
2384,GE_CUST_0039,Germany,27303.33,15-01-2024 03:41,Electronics,International,Laptop,7691.53,1254.61,13,Yes,1
150,IN_CUST_0045,India,5352.92,08-01-2024 09:41,Groceries,Domestic,Mobile,6639.34,1469.02,9,No,0
870,IN_CUST_0064,India,22890.03,29-01-2024 07:24,Travel,Domestic,Tablet,29023.68,9052.49,12,No,0
1979,FR_CUST_0058,France,88196.14,23-01-2024 03:27,Groceries,International,Laptop,23078.13,6913.26,15,Yes,1
2457,GE_CUST_0049,Germany,71692.09,06-01-2024 01:23,Groceries,International,POS,22123.76,5092.37,18,Yes,1
3866,SP_CUST_0004,Spain,100000,01-01-2024 04:01,Travel,International,Mobile,35035.41,8641.91,15,Yes,1
2213,GE_CUST_0049,Germany,16249.87,07-01-2024 18:25,Groceries,Domestic,Tablet,22123.76,5092.37,18,No,0
1007,FR_CUST_0021,France,9036.76,04-01-2024 09:26,Restaurants,Domestic,Tablet,12333.95,3558,11,No,0
3048,SP_CUST_0045,Spain,6278.98,23-01-2024 13:25,Fuel,Domestic,Laptop,6165.87,1849.3,13,No,0
706,IN_CUST_0050,India,100000,18-01-2024 02:32,Fuel,International,Tablet,37830.57,8119.98,16,Yes,1
3144,SP_CUST_0054,Spain,83537.21,27-01-2024 01:54,Groceries,International,Mobile,20432.74,6767.77,9,Yes,1
3597,SP_CUST_0006,Spain,10091.93,30-01-2024 16:13,Groceries,Domestic,Tablet,23263.84,6586.04,18,No,0
1988,FR_CUST_0013,France,100000,26-01-2024 01:26,Fashion,International,POS,35786.86,9510.76,14,Yes,1
180,IN_CUST_0025,India,25548,11-01-2024 09:07,Fuel,Domestic,Laptop,22622.45,4030.98,9,No,0
110,IN_CUST_0080,India,11423.48,11-01-2024 15:42,Healthcare,Domestic,Mobile,8685.16,1334.17,13,No,0
3079,SP_CUST_0049,Spain,9731.38,01-01-2024 18:31,Fuel,Domestic,Tablet,33546.74,11409.99,15,No,0
1056,FR_CUST_0033,France,20647.81,05-01-2024 12:53,Groceries,Domestic,POS,21539.64,6402.57,15,No,0
3953,SP_CUST_0055,Spain,100000,07-01-2024 03:02,Fuel,International,Mobile,34590.93,11397.77,10,Yes,1
315,IN_CUST_0041,India,41175.33,14-01-2024 04:20,Fuel,International,POS,13010.56,2371.1,10,Yes,1
1823,FR_CUST_0022,France,100000,20-01-2024 01:19,Travel,International,Tablet,37684.6,10448.99,9,Yes,1
568,IN_CUST_0049,India,100000,03-01-2024 03:43,Fuel,International,Laptop,28312.57,5772.44,16,Yes,1
880,IN_CUST_0037,India,14431.77,10-01-2024 01:15,Groceries,International,Mobile,2965.93,508.89,15,Yes,1
2231,GE_CUST_0039,Germany,7582.75,13-01-2024 14:39,Healthcare,Domestic,Laptop,7691.53,1254.61,13,No,0
1412,FR_CUST_0032,France,100000,17-01-2024 02:34,Fashion,International,Mobile,31783.35,7494.42,19,Yes,1
3225,SP_CUST_0016,Spain,29858.72,28-01-2024 01:31,Fashion,International,POS,8854.72,2306.66,20,Yes,1
3937,SP_CUST_0027,Spain,10150.3,26-01-2024 04:29,Restaurants,International,Laptop,3122.59,739.39,13,Yes,1
3250,SP_CUST_0029,Spain,27096.55,03-01-2024 15:39,Travel,Domestic,Tablet,22212.61,3739.94,20,No,0
930,IN_CUST_0074,India,34430.93,25-01-2024 13:13,Healthcare,Domestic,Laptop,34540.32,7975.42,9,No,0
2579,GE_CUST_0018,Germany,53286.11,10-01-2024 02:29,Electronics,International,Tablet,15909.07,4954.43,17,Yes,1
3380,SP_CUST_0024,Spain,1837.75,11-01-2024 11:29,Electronics,Domestic,Tablet,2696.86,473.37,16,No,0
2293,GE_CUST_0047,Germany,32812.59,13-01-2024 06:24,Electronics,Domestic,Tablet,22048.03,6197.42,9,No,0
1503,FR_CUST_0022,France,31978.29,10-01-2024 08:49,Travel,Domestic,Laptop,37684.6,10448.99,9,No,0
3783,SP_CUST_0066,Spain,1898.58,02-01-2024 15:46,Fuel,Domestic,Laptop,2312.48,687.31,17,No,0
606,IN_CUST_0049,India,100000,19-01-2024 01:53,Electronics,International,Tablet,28312.57,5772.44,16,Yes,1
1989,FR_CUST_0031,France,100000,07-01-2024 03:35,Groceries,International,Mobile,33324.42,9197.81,10,Yes,1
15,IN_CUST_0013,India,22230.75,13-01-2024 19:17,Fashion,Domestic,POS,19118.97,2918.57,17,No,0
1262,FR_CUST_0045,France,31534.19,10-01-2024 19:30,Restaurants,Domestic,Mobile,34848.46,9318.04,17,No,0
3239,SP_CUST_0039,Spain,25011.19,14-01-2024 18:25,Groceries,Domestic,Laptop,22150,4888.91,18,No,0
3319,SP_CUST_0044,Spain,18224.12,08-01-2024 09:19,Electronics,Domestic,Laptop,20688.04,5442.84,10,No,0
9,IN_CUST_0012,India,4521.94,13-01-2024 12:06,Travel,Domestic,POS,3765.12,1022.26,13,No,0
890,IN_CUST_0060,India,51901.5,09-01-2024 04:14,Healthcare,International,POS,15975.76,4416.68,14,Yes,1
3149,SP_CUST_0067,Spain,52285.29,01-01-2024 01:42,Fashion,International,Tablet,12605.24,3351.43,14,Yes,1
3552,SP_CUST_0019,Spain,100000,25-01-2024 04:34,Fuel,International,POS,23784.51,4615.36,17,Yes,1
1445,FR_CUST_0068,France,18851.71,14-01-2024 13:33,Electronics,Domestic,Laptop,15487.14,2484.1,16,No,0
394,IN_CUST_0062,India,11257.24,28-01-2024 13:23,Restaurants,Domestic,Mobile,7727.27,1944.49,11,No,0
1583,FR_CUST_0073,France,100000,26-01-2024 01:11,Groceries,International,Laptop,35614.17,6234.05,11,Yes,1
2859,GE_CUST_0022,Germany,35452.63,17-01-2024 01:47,Fuel,International,Laptop,11416.87,1795.51,14,Yes,1
539,IN_CUST_0002,India,23606.2,24-01-2024 17:21,Healthcare,Domestic,POS,31628.26,8519.7,18,No,0
1488,FR_CUST_0027,France,28523.79,18-01-2024 15:22,Restaurants,Domestic,POS,39365.61,12098.69,18,No,0
808,IN_CUST_0051,India,33760.54,23-01-2024 05:53,Fuel,Domestic,POS,28714.72,6395.51,9,No,0
3415,SP_CUST_0062,Spain,85177.64,09-01-2024 04:32,Groceries,International,Tablet,20615.96,3225.02,19,Yes,1
799,IN_CUST_0030,India,20298.85,18-01-2024 19:22,Fuel,Domestic,Mobile,26740.93,8904.51,17,No,0
3540,SP_CUST_0069,Spain,100000,11-01-2024 04:06,Healthcare,International,Laptop,35357.64,11633.41,9,Yes,1
1816,FR_CUST_0009,France,31806.28,28-01-2024 15:19,Groceries,Domestic,POS,27503.98,7538.7,19,No,0
2330,GE_CUST_0011,Germany,23507.16,10-01-2024 02:05,Fashion,Domestic,Mobile,30103.4,5037.02,10,No,0
2648,GE_CUST_0011,Germany,100000,05-01-2024 01:04,Travel,International,Tablet,30103.4,5037.02,10,Yes,1
1425,FR_CUST_0006,France,19874.76,25-01-2024 17:10,Travel,Domestic,Laptop,24078.57,5663.62,18,No,0
2360,GE_CUST_0044,Germany,33374.68,13-01-2024 20:58,Fuel,Domestic,Tablet,26561.87,8623.64,19,No,0
3322,SP_CUST_0068,Spain,45307.77,29-01-2024 02:14,Fuel,International,Laptop,12269.46,3078.75,19,Yes,1
788,IN_CUST_0071,India,11879.36,26-01-2024 19:58,Fuel,Domestic,Tablet,11190.39,1886.93,20,No,0
1993,FR_CUST_0016,France,8528.07,18-01-2024 09:14,Fashion,Domestic,POS,9044.17,2441.51,10,No,0
1117,FR_CUST_0032,France,33315.13,26-01-2024 17:14,Fuel,Domestic,Tablet,31783.35,7494.42,19,No,0
1321,FR_CUST_0010,France,7880.02,27-01-2024 20:19,Groceries,Domestic,Laptop,8455.48,1598.04,20,No,0
3657,SP_CUST_0007,Spain,27184.38,07-01-2024 10:13,Travel,Domestic,Laptop,28332.93,4278.42,13,No,0
1553,FR_CUST_0017,France,23401,17-01-2024 16:04,Healthcare,Domestic,POS,18144.33,6016.07,20,No,0
33,IN_CUST_0065,India,100000,25-01-2024 04:11,Restaurants,International,Mobile,26516.57,4902.2,9,Yes,1
464,IN_CUST_0017,India,789.35,21-01-2024 14:19,Restaurants,Domestic,Mobile,3306.76,1097.4,12,No,0
2516,GE_CUST_0038,Germany,44389.34,02-01-2024 03:36,Groceries,International,Laptop,11096.05,2591.97,18,Yes,1
2296,GE_CUST_0049,Germany,100000,14-01-2024 04:54,Groceries,International,POS,22123.76,5092.37,18,Yes,1
167,IN_CUST_0036,India,16823.95,29-01-2024 03:28,Electronics,International,Tablet,3536.48,1033.12,18,Yes,1
2863,GE_CUST_0060,Germany,47281.78,14-01-2024 22:52,Fashion,Domestic,Laptop,33302.29,10703.55,17,No,0
415,IN_CUST_0009,India,93508.46,12-01-2024 01:15,Fuel,International,Mobile,25250.41,4492.02,20,Yes,1
34,IN_CUST_0039,India,43180.89,27-01-2024 15:40,Restaurants,Domestic,Laptop,36487.53,7292.34,19,No,0
185,IN_CUST_0036,India,11780.16,02-01-2024 01:03,Restaurants,International,POS,3536.48,1033.12,18,Yes,1
3023,SP_CUST_0057,Spain,68850.02,17-01-2024 04:08,Healthcare,International,Tablet,16198.35,3508.28,13,Yes,1
3241,SP_CUST_0056,Spain,13439.88,04-01-2024 12:50,Electronics,Domestic,POS,18547.69,3710.45,15,No,0
3302,SP_CUST_0034,Spain,31365.19,11-01-2024 21:18,Fuel,Domestic,Tablet,33311.25,9507.71,20,No,0
1953,FR_CUST_0015,France,55944.22,24-01-2024 04:42,Fashion,International,Laptop,12295.82,2341.75,19,Yes,1
3750,SP_CUST_0048,Spain,100000,19-01-2024 01:30,Groceries,International,Mobile,34032.11,8304.49,10,Yes,1
1622,FR_CUST_0042,France,8209.18,27-01-2024 01:50,Electronics,International,Mobile,2651.69,883.86,9,Yes,1
1243,FR_CUST_0041,France,100000,11-01-2024 04:41,Travel,International,POS,26865,5276.38,14,Yes,1
3550,SP_CUST_0069,Spain,32593.68,23-01-2024 12:43,Travel,Domestic,POS,35357.64,11633.41,9,No,0
722,IN_CUST_0069,India,7864.64,09-01-2024 18:38,Restaurants,Domestic,Laptop,11801.78,3328.06,18,No,0
1175,FR_CUST_0018,France,44359.06,28-01-2024 14:55,Fuel,Domestic,Mobile,30338.63,7936.14,18,No,0
671,IN_CUST_0075,India,23863.74,13-01-2024 18:34,Restaurants,Domestic,Tablet,26397.2,4403.79,16,No,0
3332,SP_CUST_0060,Spain,60202.13,04-01-2024 01:34,Healthcare,International,Mobile,16003.67,2573.29,17,Yes,1
1747,FR_CUST_0041,France,91542.78,27-01-2024 03:54,Fuel,International,POS,26865,5276.38,14,Yes,1
2425,GE_CUST_0054,Germany,22747.35,27-01-2024 06:09,Travel,Domestic,Tablet,25181.65,5703.56,9,No,0
1557,FR_CUST_0048,France,89015.17,26-01-2024 04:11,Travel,International,Laptop,23995.93,6332.45,15,Yes,1
2867,GE_CUST_0060,Germany,100000,29-01-2024 01:46,Fashion,International,POS,33302.29,10703.55,17,Yes,1
3537,SP_CUST_0070,Spain,29520.24,12-01-2024 10:04,Fuel,Domestic,Laptop,38456.43,7369.1,13,No,0
2585,GE_CUST_0004,Germany,78418.84,05-01-2024 02:23,Electronics,International,Mobile,17327.84,4943.54,12,Yes,1
1745,FR_CUST_0066,France,95172.92,07-01-2024 04:49,Fuel,International,Laptop,23759.07,4880.17,12,Yes,1
3868,SP_CUST_0009,Spain,100000,09-01-2024 03:28,Groceries,International,Tablet,31201.02,5961.09,17,Yes,1
719,IN_CUST_0076,India,100000,23-01-2024 04:22,Healthcare,International,Tablet,31842.94,9036.95,11,Yes,1
1371,FR_CUST_0080,France,10529.29,24-01-2024 18:09,Fuel,Domestic,Mobile,10010.14,1960.72,12,No,0
2980,GE_CUST_0020,Germany,10191.23,13-01-2024 15:48,Fuel,Domestic,Mobile,22400.65,7556.05,19,No,0
3931,SP_CUST_0077,Spain,81729.66,17-01-2024 01:14,Travel,International,POS,19699.27,4972.22,12,Yes,1
2021,GE_CUST_0067,Germany,35973.66,18-01-2024 04:18,Electronics,International,Mobile,10496.9,3534.21,16,Yes,1
2611,GE_CUST_0065,Germany,14894.28,26-01-2024 08:49,Electronics,Domestic,Mobile,14819.64,2488.81,9,No,0
1627,FR_CUST_0021,France,6900.53,01-01-2024 09:56,Fashion,Domestic,Mobile,12333.95,3558,11,No,0
2426,GE_CUST_0049,Germany,100000,01-01-2024 04:38,Electronics,International,Mobile,22123.76,5092.37,18,Yes,1
3054,SP_CUST_0055,Spain,55020.32,13-01-2024 06:16,Groceries,Domestic,POS,34590.93,11397.77,10,No,0
3008,SP_CUST_0059,Spain,100000,13-01-2024 02:20,Fashion,International,Laptop,34896.64,5458.6,9,Yes,1
600,IN_CUST_0040,India,43868.88,09-01-2024 04:23,Restaurants,International,Tablet,9716.33,3289.66,15,Yes,1
1748,FR_CUST_0035,France,100000,22-01-2024 01:44,Fuel,International,POS,30424.18,9508.86,14,Yes,1
2352,GE_CUST_0015,Germany,18040.82,16-01-2024 22:42,Restaurants,Domestic,Laptop,34467.18,10333.25,20,No,0
1430,FR_CUST_0002,France,37119.17,15-01-2024 19:31,Healthcare,Domestic,Tablet,26955.72,7864.42,19,No,0
1115,FR_CUST_0075,France,100000,05-01-2024 03:36,Restaurants,International,POS,25521.68,8630.27,13,Yes,1
643,IN_CUST_0010,India,100000,03-01-2024 03:17,Electronics,International,Tablet,39002.71,7666.15,11,Yes,1
403,IN_CUST_0018,India,33316.23,25-01-2024 01:45,Fashion,International,Tablet,8924.97,2687.06,14,Yes,1
491,IN_CUST_0080,India,8104.59,22-01-2024 12:39,Groceries,Domestic,Laptop,8685.16,1334.17,13,No,0
2500,GE_CUST_0028,Germany,36557.7,10-01-2024 14:30,Travel,Domestic,Mobile,28329.38,7398.9,15,No,0
1004,FR_CUST_0015,France,40076.48,13-01-2024 04:25,Fashion,International,POS,12295.82,2341.75,19,Yes,1
2115,GE_CUST_0003,Germany,10135.88,23-01-2024 17:43,Restaurants,Domestic,POS,11125.76,2388.76,17,No,0
3485,SP_CUST_0070,Spain,100000,24-01-2024 04:39,Fashion,International,Laptop,38456.43,7369.1,13,Yes,1
1879,FR_CUST_0032,France,100000,17-01-2024 02:45,Healthcare,International,Laptop,31783.35,7494.42,19,Yes,1
2474,GE_CUST_0001,Germany,38170.3,12-01-2024 12:56,Healthcare,Domestic,Laptop,29094.54,6495.57,15,No,0
271,IN_CUST_0054,India,100000,06-01-2024 01:12,Electronics,International,POS,39914.14,8116.79,10,Yes,1
2342,GE_CUST_0032,Germany,10743.5,12-01-2024 11:28,Restaurants,Domestic,Tablet,11723.16,2712.92,10,No,0
3059,SP_CUST_0003,Spain,80976.23,26-01-2024 04:24,Groceries,International,POS,22047.42,6552.06,14,Yes,1
3199,SP_CUST_0032,Spain,7998.67,25-01-2024 02:58,Groceries,International,Tablet,2118.62,446.4,18,Yes,1
1045,FR_CUST_0018,France,100000,05-01-2024 01:26,Restaurants,International,POS,30338.63,7936.14,18,Yes,1
3498,SP_CUST_0063,Spain,24249.46,18-01-2024 15:38,Healthcare,Domestic,Tablet,17839.72,4674.75,13,No,0
2794,GE_CUST_0022,Germany,11438.2,11-01-2024 18:43,Groceries,Domestic,Laptop,11416.87,1795.51,14,No,0
2393,GE_CUST_0063,Germany,6387.75,10-01-2024 14:44,Restaurants,Domestic,Laptop,4870.03,1536.57,13,No,0
3471,SP_CUST_0067,Spain,60085.86,14-01-2024 02:57,Fashion,International,Tablet,12605.24,3351.43,14,Yes,1
3838,SP_CUST_0035,Spain,14399.09,28-01-2024 01:12,Electronics,International,Tablet,4048.14,617.08,12,Yes,1
2359,GE_CUST_0074,Germany,67953.61,25-01-2024 03:59,Restaurants,International,Mobile,17499.98,3630.9,14,Yes,1
2335,GE_CUST_0067,Germany,5899.45,26-01-2024 15:00,Fashion,Domestic,POS,10496.9,3534.21,16,No,0
18,IN_CUST_0021,India,56566.15,15-01-2024 17:24,Travel,Domestic,Laptop,24720.2,8265.81,16,No,0
3655,SP_CUST_0019,Spain,20166.76,16-01-2024 12:06,Restaurants,Domestic,Tablet,23784.51,4615.36,17,No,0
1211,FR_CUST_0016,France,15797.34,30-01-2024 11:05,Fuel,Domestic,Tablet,9044.17,2441.51,10,No,0
2118,GE_CUST_0036,Germany,100000,04-01-2024 01:43,Restaurants,International,Tablet,34641.26,5811.23,10,Yes,1
230,IN_CUST_0050,India,40381.9,07-01-2024 14:58,Restaurants,Domestic,Laptop,37830.57,8119.98,16,No,0
1118,FR_CUST_0036,France,23059.17,27-01-2024 04:23,Electronics,International,POS,5606.88,1961.17,19,Yes,1
1293,FR_CUST_0048,France,24356.59,25-01-2024 16:05,Electronics,Domestic,Laptop,23995.93,6332.45,15,No,0
496,IN_CUST_0061,India,16528.35,17-01-2024 10:29,Electronics,Domestic,Laptop,17155.33,5374.53,9,No,0
3545,SP_CUST_0072,Spain,16697.63,21-01-2024 10:03,Travel,Domestic,Tablet,21730.62,7576.28,9,No,0
462,IN_CUST_0045,India,5860.01,17-01-2024 10:57,Travel,Domestic,Mobile,6639.34,1469.02,9,No,0
2904,GE_CUST_0067,Germany,51356.39,30-01-2024 01:39,Restaurants,International,POS,10496.9,3534.21,16,Yes,1
1564,FR_CUST_0007,France,100000,06-01-2024 01:29,Fashion,International,Tablet,31714.48,9525.42,15,Yes,1
2554,GE_CUST_0014,Germany,79143.07,18-01-2024 04:18,Groceries,International,Tablet,19250.44,4048.99,11,Yes,1
